17:14:25.316 INFO  o.apache.arrow.memory.BaseAllocator - Debug mode disabled.
17:14:25.319 INFO  o.a.a.m.DefaultAllocationManagerOption - allocation manager type not specified, using netty as the default type
17:14:25.320 INFO  o.apache.arrow.memory.CheckAllocator - Using DefaultAllocationManager at memory-netty/8.0.0/arrow-memory-netty-8.0.0.jar!/org/apache/arrow/memory/DefaultAllocationManagerFactory.class
17:40:18.996 INFO  o.apache.arrow.memory.BaseAllocator - Debug mode disabled.
17:40:18.999 INFO  o.a.a.m.DefaultAllocationManagerOption - allocation manager type not specified, using netty as the default type
17:40:19.000 INFO  o.apache.arrow.memory.CheckAllocator - Using DefaultAllocationManager at memory-netty/8.0.0/arrow-memory-netty-8.0.0.jar!/org/apache/arrow/memory/DefaultAllocationManagerFactory.class
17:48:50.704 INFO  o.apache.arrow.memory.BaseAllocator - Debug mode disabled.
17:48:50.708 INFO  o.a.a.m.DefaultAllocationManagerOption - allocation manager type not specified, using netty as the default type
17:48:50.708 INFO  o.apache.arrow.memory.CheckAllocator - Using DefaultAllocationManager at memory-netty/8.0.0/arrow-memory-netty-8.0.0.jar!/org/apache/arrow/memory/DefaultAllocationManagerFactory.class
17:52:23.706 INFO  o.apache.arrow.memory.BaseAllocator - Debug mode disabled.
17:52:23.709 INFO  o.a.a.m.DefaultAllocationManagerOption - allocation manager type not specified, using netty as the default type
17:52:23.710 INFO  o.apache.arrow.memory.CheckAllocator - Using DefaultAllocationManager at memory-netty/8.0.0/arrow-memory-netty-8.0.0.jar!/org/apache/arrow/memory/DefaultAllocationManagerFactory.class
17:55:57.856 INFO  o.apache.arrow.memory.BaseAllocator - Debug mode disabled.
17:55:57.861 INFO  o.a.a.m.DefaultAllocationManagerOption - allocation manager type not specified, using netty as the default type
17:55:57.861 INFO  o.apache.arrow.memory.CheckAllocator - Using DefaultAllocationManager at memory-netty/8.0.0/arrow-memory-netty-8.0.0.jar!/org/apache/arrow/memory/DefaultAllocationManagerFactory.class
18:16:03.408 INFO  o.apache.arrow.memory.BaseAllocator - Debug mode disabled.
18:16:03.412 INFO  o.a.a.m.DefaultAllocationManagerOption - allocation manager type not specified, using netty as the default type
18:16:03.413 INFO  o.apache.arrow.memory.CheckAllocator - Using DefaultAllocationManager at memory-netty/8.0.0/arrow-memory-netty-8.0.0.jar!/org/apache/arrow/memory/DefaultAllocationManagerFactory.class
